目標,請求記号,書名,著者,出版者,出版年,ISBN,紀伊國屋,カーリル
05,367-ｺ ,女性への暴力防止・法整備のための国連ハンドブック - 政府・議員・市民団体・女性たち・男性たちに,国際連合女性の地位向上部∥著、矯風会ステップハウス∥編,梨の木舎,2011.3,9784816611056,https://www.kinokuniya.co.jp/f/dsg-01-9784816611056,https://calil.jp/book/9784816611056
05,367-ｻ ,「許せない」がやめられない - SNSで蔓延する「#怒りの快楽」依存症,坂爪真吾∥著,徳間書店,2020.6,9784198651114,https://www.kinokuniya.co.jp/f/dsg-01-9784198651114,https://calil.jp/book/9784198651114
05,367-ｼ ,女性の世界地図 - 女たちの経験・現在地・これから,ジョニー・シーガー∥著,明石書店,2020.1,9784750350844,https://www.kinokuniya.co.jp/f/dsg-01-9784750350844,https://calil.jp/book/9784750350844
05,367-ｼ ,失敗しないためのジェンダー表現ガイドブック,新聞労連ジェンダー表現ガイドブック編集チーム∥著,小学館,2022.3,9784093115100,https://www.kinokuniya.co.jp/f/dsg-01-9784093115100,https://calil.jp/book/9784093115100
05,367-ｼ ,CHOICE - 自分で選びとるための「性」の知識,シオリーヌ∥著,イースト・プレス,2020.12,9784781619378,https://www.kinokuniya.co.jp/f/dsg-01-9784781619378,https://calil.jp/book/9784781619378
05,367-ｼ ,どうして男はそうなんだろうか会議 - いろいろ語り合って見えてきた「これからの男」のこと,澁谷知美∥編、清田隆之∥編、西井開∥ほか述,筑摩書房,2022.8,9784480864796,https://www.kinokuniya.co.jp/f/dsg-01-9784480864796,https://calil.jp/book/9784480864796
05,367-ﾌ ,フェミニズムはみんなのもの - 情熱の政治学,ベル・フックス∥著、堀田碧∥訳,エトセトラブックス,2020.8,9784909910080,https://www.kinokuniya.co.jp/f/dsg-01-9784909910080,https://calil.jp/book/9784909910080
05,367-ﾌﾞ ,北欧に学ぶ小さなフェミニストの本,サッサ・ブーレグレーン∥作,岩崎書店,2018.5,9784265860449,https://www.kinokuniya.co.jp/f/dsg-01-9784265860449,https://calil.jp/book/9784265860449
05,367-ﾏ ,13歳から知っておきたいLGBT+,アシュリー・マーデル∥著,ダイヤモンド社,2017.11,9784478102961,https://www.kinokuniya.co.jp/f/dsg-01-9784478102961,https://calil.jp/book/9784478102961
05,R367-ｼﾞ 2023,女性白書 - 戦争ではなく平和を-いのち・くらし・人権,日本婦人団体連合会∥編,ほるぷ出版,2023.8,9784593104369,https://www.kinokuniya.co.jp/f/dsg-01-9784593104369,https://calil.jp/book/9784593104369
06,517-ｾ ,ゼロから理解する水の基本 - 水の安全と環境、ビジネス最前線まで,千賀裕太郎∥監修,誠文堂新光社,2013.7,9784416713686,https://www.kinokuniya.co.jp/f/dsg-01-9784416713686,https://calil.jp/book/9784416713686
06,517-ﾊ ,67億人の水,橋本淳司∥著,日本経済新聞出版社,2010,9784532316105,https://www.kinokuniya.co.jp/f/dsg-01-9784532316105,https://calil.jp/book/9784532316105
06,517-ﾌﾞ ,水の世界地図 - 刻々と変化する水と世界の問題,Maggie、Black∥著、Jannet、King∥著,丸善,2010.12,9784621082478,https://www.kinokuniya.co.jp/f/dsg-01-9784621082478,https://calil.jp/book/9784621082478
06,518-ｻ ,災害とトイレ - 緊急事態に備えた対応,日本トイレ協会∥編,柏書房,2022.7,9784760154661,https://www.kinokuniya.co.jp/f/dsg-01-9784760154661,https://calil.jp/book/9784760154661
06,518-ﾅ ,上下水道が一番わかる - 浄水から循環利用まで最重要インフラの上下水道を理解する,長沢靖之∥監修・著、井端和人∥著、片岡利夫∥著,技術評論社,2012.9,9784774152257,https://www.kinokuniya.co.jp/f/dsg-01-9784774152257,https://calil.jp/book/9784774152257
06,518-ﾊ ,明日の水は大丈夫?―バケツ1杯で考える「水」の授業,橋本淳司∥著,技術評論社,2009,978477413986,https://www.kinokuniya.co.jp/f/dsg-01-978477413986,https://calil.jp/book/978477413986
06,519-ｲ 2,池上彰のニュースに登場する世界の環境問題 - 水,池上彰∥監修、稲葉茂勝∥訳・文、サラ・レベーテ∥原著,さ・え・ら書房,2010.4,9784378011929,https://www.kinokuniya.co.jp/f/dsg-01-9784378011929,https://calil.jp/book/9784378011929
07,334-ｱ ,世界がわかる資源データブック - 激化する争奪のゆくえ,安部直文∥著,第三文明社,2016.7,9784476033595,https://www.kinokuniya.co.jp/f/dsg-01-9784476033595,https://calil.jp/book/9784476033595
07,450-ﾋ ,地学・資源・エネルギーのすごい話 - 難しいことはわかりませんが、日本の未来が明るくなるニュースを教えてください,ひつじさん∥著,KADOKAWA,2023.3,9784046061133,https://www.kinokuniya.co.jp/f/dsg-01-9784046061133,https://calil.jp/book/9784046061133
07,501-ｲ 1,見学!自然エネルギー大図鑑 - 太陽光・風力発電,飯田哲也∥監修,偕成社,2012.3,9784036361106,https://www.kinokuniya.co.jp/f/dsg-01-9784036361106,https://calil.jp/book/9784036361106
07,501-ｲ 2,見学!自然エネルギー大図鑑 - 地熱・小水力発電ほか,飯田哲也∥監修,偕成社,2012.4,9784036361205,https://www.kinokuniya.co.jp/f/dsg-01-9784036361205,https://calil.jp/book/9784036361205
07,501-ﾄ ,再生可能エネルギーの地政学,十市勉∥著,エネルギーフォーラム,2023.7,9784885555367,https://www.kinokuniya.co.jp/f/dsg-01-9784885555367,https://calil.jp/book/9784885555367
07,501-ﾔ ,新しい世界の資源地図 - エネルギー・気候変動・国家の衝突,ダニエル・ヤーギン∥著,東洋経済新報社,2022.2,9784492444665,https://www.kinokuniya.co.jp/f/dsg-01-9784492444665,https://calil.jp/book/9784492444665
07,501-ﾔ ,成長戦略としての「新しい再エネ」 - 地熱、洋上風力、ペロブスカイト太陽電池が日本を救う!,山口豊∥著,山と溪谷社,2022.11,9784635310475,https://www.kinokuniya.co.jp/f/dsg-01-9784635310475,https://calil.jp/book/9784635310475
07,519-ｲ 8,池上彰のニュースに登場する世界の環境問題 - 貧困,池上彰∥監修、稲葉茂勝∥訳・文、キャサリン・チャンバーズ∥原著,さ・え・ら書房,2011.3,9784378012285,https://www.kinokuniya.co.jp/f/dsg-01-9784378012285,https://calil.jp/book/9784378012285
